user_id,drink_id,fruity_user,milky_user,with_tea_user,refreshing_user,fragrant_user,adventurous_user,cold_user,fruity_drink,milky_drink,with_tea_drink,refreshing_drink,fragrant_drink,cold_drink,distance,popularity,label
1,101.0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,1.0,1.01,62.0,0
1,102.0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,1.0,2.76,62.0,0
1,103.0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4.38,67.0,1
1,104.0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,1.0,3.69,81.0,0
1,105.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,81.0,1
1,106.0,0,0,0,0,0,1,0,1.0,1.0,1.0,0.0,1.0,0.0,3.33,84.0,0
1,107.0,0,0,0,0,0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,3.49,88.0,0
1,108.0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,4.26,95.0,1
1,109.0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1.32,78.0,1
1,110.0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,1.0,2.5,98.0,0
1,111.0,0,0,0,0,0,1,0,1.0,0.0,1.0,1.0,1.0,0.0,1.18,78.0,0
1,112.0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,1.0,4.94,93.0,0
1,113.0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,4.73,65.0,1
1,114.0,0,0,0,0,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.29,93.0,1
1,115.0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,3.56,96.0,1
1,116.0,0,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,4.63,59.0,1
1,117.0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.98,79.0,0
1,118.0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,1.0,0.0,2.88,74.0,0
1,119.0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,4.59,88.0,1
1,120.0,0,0,0,0,0,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.27,69.0,0
1,121.0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,1.0,1.0,3.52,54.0,0
1,122.0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.56,50.0,1
1,123.0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,1.0,4.63,79.0,0
1,124.0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,4.86,98.0,1
1,125.0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,4.73,52.0,1
1,126.0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,2.42,94.0,1
1,127.0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,4.32,63.0,1
1,128.0,0,0,0,0,0,1,0,1.0,1.0,0.0,1.0,1.0,0.0,4.24,79.0,0
1,129.0,0,0,0,0,0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,1.66,99.0,0
1,130.0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4.16,53.0,1
1,131.0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.28,67.0,1
1,132.0,0,0,0,0,0,1,0,1.0,0.0,0.0,1.0,1.0,1.0,3.02,86.0,0
1,133.0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.23,74.0,1
1,134.0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.69,97.0,1
1,135.0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.48,50.0,1
1,136.0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,3.51,95.0,1
1,137.0,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,0.0,1.0,1.77,64.0,0
1,138.0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,3.65,58.0,1
1,139.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,64.0,1
1,140.0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,1.0,1.64,98.0,0
1,141.0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,2.74,73.0,1
1,142.0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,1.0,3.97,53.0,0
1,143.0,0,0,0,0,0,1,0,1.0,0.0,0.0,1.0,1.0,0.0,1.66,61.0,0
1,144.0,0,0,0,0,0,1,0,1.0,1.0,1.0,0.0,1.0,0.0,3.17,86.0,0
1,145.0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,4.44,86.0,1
1,146.0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,3.12,92.0,1
1,147.0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.24,55.0,1
1,148.0,0,0,0,0,0,1,0,1.0,0.0,1.0,1.0,1.0,0.0,0.22,88.0,0
1,149.0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,1.0,1.0,4.36,95.0,0
1,150.0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,73.0,0
2,101.0,1,1,0,0,1,1,0,1.0,0.0,1.0,0.0,0.0,1.0,1.01,62.0,0
2,102.0,1,1,0,0,1,1,0,0.0,1.0,0.0,1.0,0.0,1.0,2.76,62.0,0
2,103.0,1,1,0,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4.38,67.0,1
2,104.0,1,1,0,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1.0,3.69,81.0,0
2,105.0,1,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,81.0,0
2,106.0,1,1,0,0,1,1,0,1.0,1.0,1.0,0.0,1.0,0.0,3.33,84.0,1
2,107.0,1,1,0,0,1,1,0,0.0,1.0,1.0,0.0,1.0,0.0,3.49,88.0,1
2,108.0,1,1,0,0,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,4.26,95.0,0
2,109.0,1,1,0,0,1,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1.32,78.0,0
2,110.0,1,1,0,0,1,1,0,1.0,1.0,0.0,0.0,0.0,1.0,2.5,98.0,1
2,111.0,1,1,0,0,1,1,0,1.0,0.0,1.0,1.0,1.0,0.0,1.18,78.0,0
2,112.0,1,1,0,0,1,1,0,1.0,0.0,1.0,0.0,0.0,1.0,4.94,93.0,0
2,113.0,1,1,0,0,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,4.73,65.0,0
2,114.0,1,1,0,0,1,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.29,93.0,0
2,115.0,1,1,0,0,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,3.56,96.0,0
2,116.0,1,1,0,0,1,1,0,1.0,0.0,0.0,1.0,0.0,0.0,4.63,59.0,0
2,117.0,1,1,0,0,1,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.98,79.0,1
2,118.0,1,1,0,0,1,1,0,1.0,1.0,0.0,0.0,1.0,0.0,2.88,74.0,1
2,119.0,1,1,0,0,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,4.59,88.0,0
2,120.0,1,1,0,0,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.27,69.0,1
2,121.0,1,1,0,0,1,1,0,1.0,0.0,1.0,0.0,1.0,1.0,3.52,54.0,0
2,122.0,1,1,0,0,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.56,50.0,0
2,123.0,1,1,0,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1.0,4.63,79.0,0
2,124.0,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,4.86,98.0,1
2,125.0,1,1,0,0,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,4.73,52.0,1
2,126.0,1,1,0,0,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,2.42,94.0,0
2,127.0,1,1,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,4.32,63.0,0
2,128.0,1,1,0,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,4.24,79.0,1
2,129.0,1,1,0,0,1,1,0,0.0,1.0,1.0,0.0,1.0,0.0,1.66,99.0,1
